emg,gesture
;20;-44;;-5;;19;-11;;;9;-20;;-5;;20;-44;;-5;;19;-11;;;9;-20;;-5;;20;-44;;-5;;19;-11;;;9;-20;;-5;;20;-44;;-5;;19;-11;;;9;-20;;-5;;20;-44;;-5;;19;-11;;;9;-20;;-5;;20;-44;;-5;;19;-11;;;9;-20;;-5;;20;-44;;-5;;19;-11;;;9;-20;;-5;;20;-44;;-5;;19;-11;;;9;-20;;-5,1
-2;-4;-7;-5;;9;;6;11;16;-2;-4;-7;-5;;9;;6;11;16;-2;-4;-7;-5;;9;;6;11;16;-2;-4;-7;-5;;9;;6;11;16;-2;-4;-7;-5;;9;;6;11;16;-2;-4;-7;-5;;9;;6;11;16;-2;-4;-7;-5;;9;;6;11;16;-2;-4;-7;-5;;9;;6;11;16,1
;;8;;17;;;7;;;9;;;5;;-5;-11;-16;;;8;;17;;;7;;;9;;;5;;-5;-11;-16;;;8;;17;;;7;;;9;;;5;;-5;-11;-16;;;8;;17;;;7;;;9;;;5;;-5;-11;-16;;;8;;17;;;7;;;9;;;5;;-5;-11;-16;;;8;;17;;;7;;;9;;;5;;-5;-11;-16;;;8;;17;;;7;;;9;;;5;;-5;-11;-16;;;8;;17;;;7;;;9;;;5;;-5;-11;-16,1
-25;;;4;-13;;;2;;;2;;-3;;;4;;10;-25;;;4;-13;;;2;;;2;;-3;;;4;;10;-25;;;4;-13;;;2;;;2;;-3;;;4;;10;-25;;;4;-13;;;2;;;2;;-3;;;4;;10;-25;;;4;-13;;;2;;;2;;-3;;;4;;10;-25;;;4;-13;;;2;;;2;;-3;;;4;;10;-25;;;4;-13;;;2;;;2;;-3;;;4;;10;-25;;;4;-13;;;2;;;2;;-3;;;4;;10,1
;-2;;25;;17;;-2;;;9;;14;-11;-10;;-2;;25;;17;;-2;;;9;;14;-11;-10;;-2;;25;;17;;-2;;;9;;14;-11;-10;;-2;;25;;17;;-2;;;9;;14;-11;-10;;-2;;25;;17;;-2;;;9;;14;-11;-10;;-2;;25;;17;;-2;;;9;;14;-11;-10;;-2;;25;;17;;-2;;;9;;14;-11;-10;;-2;;25;;17;;-2;;;9;;14;-11;-10,1
-18;;-1;-12;;;7;;-5;;-9;;;8;;;7;-18;;-1;-12;;;7;;-5;;-9;;;8;;;7;-18;;-1;-12;;;7;;-5;;-9;;;8;;;7;-18;;-1;-12;;;7;;-5;;-9;;;8;;;7;-18;;-1;-12;;;7;;-5;;-9;;;8;;;7;-18;;-1;-12;;;7;;-5;;-9;;;8;;;7;-18;;-1;-12;;;7;;-5;;-9;;;8;;;7;-18;;-1;-12;;;7;;-5;;-9;;;8;;;7,1
;;6;-20;-14;-28;-17;-11;-15;;-9;;;6;-20;-14;-28;-17;-11;-15;;-9;;;6;-20;-14;-28;-17;-11;-15;;-9;;;6;-20;-14;-28;-17;-11;-15;;-9;;;6;-20;-14;-28;-17;-11;-15;;-9;;;6;-20;-14;-28;-17;-11;-15;;-9;;;6;-20;-14;-28;-17;-11;-15;;-9;;;6;-20;-14;-28;-17;-11;-15;;-9,1
;12;-27;;-3;;;0;;-7;-12;;-4;-13;;12;-27;;-3;;;0;;-7;-12;;-4;-13;;12;-27;;-3;;;0;;-7;-12;;-4;-13;;12;-27;;-3;;;0;;-7;-12;;-4;-13;;12;-27;;-3;;;0;;-7;-12;;-4;-13;;12;-27;;-3;;;0;;-7;-12;;-4;-13;;12;-27;;-3;;;0;;-7;-12;;-4;-13;;12;-27;;-3;;;0;;-7;-12;;-4;-13,1
-6;23;;9;12;;3;12;16;-1;-6;23;;9;12;;3;12;16;-1;-6;23;;9;12;;3;12;16;-1;-6;23;;9;12;;3;12;16;-1;-6;23;;9;12;;3;12;16;-1;-6;23;;9;12;;3;12;16;-1;-6;23;;9;12;;3;12;16;-1;-6;23;;9;12;;3;12;16;-1,1
;-7;;;5;;33;;24;;14;;-5;;;1;-13;;-7;;;5;;33;;24;;14;;-5;;;1;-13;;-7;;;5;;33;;24;;14;;-5;;;1;-13;;-7;;;5;;33;;24;;14;;-5;;;1;-13;;-7;;;5;;33;;24;;14;;-5;;;1;-13;;-7;;;5;;33;;24;;14;;-5;;;1;-13;;-7;;;5;;33;;24;;14;;-5;;;1;-13;;-7;;;5;;33;;24;;14;;-5;;;1;-13,1
