emg,gesture
-10;-10;-28;;-6;;-6;;;4;;;3;-11;-10;-10;-28;;-6;;-6;;;4;;;3;-11;-10;-10;-28;;-6;;-6;;;4;;;3;-11;-10;-10;-28;;-6;;-6;;;4;;;3;-11;-10;-10;-28;;-6;;-6;;;4;;;3;-11;-10;-10;-28;;-6;;-6;;;4;;;3;-11;-10;-10;-28;;-6;;-6;;;4;;;3;-11;-10;-10;-28;;-6;;-6;;;4;;;3;-11,1
-2;-2;;7;11;21;;6;;4;;1;-2;-2;;7;11;21;;6;;4;;1;-2;-2;;7;11;21;;6;;4;;1;-2;-2;;7;11;21;;6;;4;;1;-2;-2;;7;11;21;;6;;4;;1;-2;-2;;7;11;21;;6;;4;;1;-2;-2;;7;11;21;;6;;4;;1;-2;-2;;7;11;21;;6;;4;;1,1
-10;;-3;;-4;;-1;;-8;;-5;;-7;;-7;-10;;-3;;-4;;-1;;-8;;-5;;-7;;-7;-10;;-3;;-4;;-1;;-8;;-5;;-7;;-7;-10;;-3;;-4;;-1;;-8;;-5;;-7;;-7;-10;;-3;;-4;;-1;;-8;;-5;;-7;;-7;-10;;-3;;-4;;-1;;-8;;-5;;-7;;-7;-10;;-3;;-4;;-1;;-8;;-5;;-7;;-7;-10;;-3;;-4;;-1;;-8;;-5;;-7;;-7,1
;3;14;11;;7;-1;;4;;7;;9;;3;14;11;;7;-1;;4;;7;;9;;3;14;11;;7;-1;;4;;7;;9;;3;14;11;;7;-1;;4;;7;;9;;3;14;11;;7;-1;;4;;7;;9;;3;14;11;;7;-1;;4;;7;;9;;3;14;11;;7;-1;;4;;7;;9;;3;14;11;;7;-1;;4;;7;;9,1
;;1;-42;;-1;-10;;-5;-11;;-6;;-3;;;1;-42;;-1;-10;;-5;-11;;-6;;-3;;;1;-42;;-1;-10;;-5;-11;;-6;;-3;;;1;-42;;-1;-10;;-5;-11;;-6;;-3;;;1;-42;;-1;-10;;-5;-11;;-6;;-3;;;1;-42;;-1;-10;;-5;-11;;-6;;-3;;;1;-42;;-1;-10;;-5;-11;;-6;;-3;;;1;-42;;-1;-10;;-5;-11;;-6;;-3,1
-20;-23;;-6;;-4;;-3;;;2;;;1;-20;-20;-23;;-6;;-4;;-3;;;2;;;1;-20;-20;-23;;-6;;-4;;-3;;;2;;;1;-20;-20;-23;;-6;;-4;;-3;;;2;;;1;-20;-20;-23;;-6;;-4;;-3;;;2;;;1;-20;-20;-23;;-6;;-4;;-3;;;2;;;1;-20;-20;-23;;-6;;-4;;-3;;;2;;;1;-20;-20;-23;;-6;;-4;;-3;;;2;;;1;-20,1
;2;;7;-8;-5;-5;-6;-3;;3;;2;;7;-8;-5;-5;-6;-3;;3;;2;;7;-8;-5;-5;-6;-3;;3;;2;;7;-8;-5;-5;-6;-3;;3;;2;;7;-8;-5;-5;-6;-3;;3;;2;;7;-8;-5;-5;-6;-3;;3;;2;;7;-8;-5;-5;-6;-3;;3;;2;;7;-8;-5;-5;-6;-3;;3,1
;;0;-29;-23;;;3;;;7;;;2;;;3;;;1;;;0;-29;-23;;;3;;;7;;;2;;;3;;;1;;;0;-29;-23;;;3;;;7;;;2;;;3;;;1;;;0;-29;-23;;;3;;;7;;;2;;;3;;;1;;;0;-29;-23;;;3;;;7;;;2;;;3;;;1;;;0;-29;-23;;;3;;;7;;;2;;;3;;;1;;;0;-29;-23;;;3;;;7;;;2;;;3;;;1;;;0;-29;-23;;;3;;;7;;;2;;;3;;;1,1
;;7;-27;;;1;;-9;-12;;-7;;-6;;-6;;;7;-27;;;1;;-9;-12;;-7;;-6;;-6;;;7;-27;;;1;;-9;-12;;-7;;-6;;-6;;;7;-27;;;1;;-9;-12;;-7;;-6;;-6;;;7;-27;;;1;;-9;-12;;-7;;-6;;-6;;;7;-27;;;1;;-9;-12;;-7;;-6;;-6;;;7;-27;;;1;;-9;-12;;-7;;-6;;-6;;;7;-27;;;1;;-9;-12;;-7;;-6;;-6,1
-1;15;-8;-1;-3;-4;;5;;2;-1;15;-8;-1;-3;-4;;5;;2;-1;15;-8;-1;-3;-4;;5;;2;-1;15;-8;-1;-3;-4;;5;;2;-1;15;-8;-1;-3;-4;;5;;2;-1;15;-8;-1;-3;-4;;5;;2;-1;15;-8;-1;-3;-4;;5;;2;-1;15;-8;-1;-3;-4;;5;;2,1
;8;16;18;;4;-8;-2;-7;;0;;8;16;18;;4;-8;-2;-7;;0;;8;16;18;;4;-8;-2;-7;;0;;8;16;18;;4;-8;-2;-7;;0;;8;16;18;;4;-8;-2;-7;;0;;8;16;18;;4;-8;-2;-7;;0;;8;16;18;;4;-8;-2;-7;;0;;8;16;18;;4;-8;-2;-7;;0,1
-15;-14;;-6;;;5;;13;;;4;;;3;;-9;-15;-14;;-6;;;5;;13;;;4;;;3;;-9;-15;-14;;-6;;;5;;13;;;4;;;3;;-9;-15;-14;;-6;;;5;;13;;;4;;;3;;-9;-15;-14;;-6;;;5;;13;;;4;;;3;;-9;-15;-14;;-6;;;5;;13;;;4;;;3;;-9;-15;-14;;-6;;;5;;13;;;4;;;3;;-9;-15;-14;;-6;;;5;;13;;;4;;;3;;-9,1
;7;25;;4;;4;;4;-4;-8;;0;;7;25;;4;;4;;4;-4;-8;;0;;7;25;;4;;4;;4;-4;-8;;0;;7;25;;4;;4;;4;-4;-8;;0;;7;25;;4;;4;;4;-4;-8;;0;;7;25;;4;;4;;4;-4;-8;;0;;7;25;;4;;4;;4;-4;-8;;0;;7;25;;4;;4;;4;-4;-8;;0,1
;-6;;-8;-23;-10;;-7;;-1;;;6;;;7;;-6;;-8;-23;-10;;-7;;-1;;;6;;;7;;-6;;-8;-23;-10;;-7;;-1;;;6;;;7;;-6;;-8;-23;-10;;-7;;-1;;;6;;;7;;-6;;-8;-23;-10;;-7;;-1;;;6;;;7;;-6;;-8;-23;-10;;-7;;-1;;;6;;;7;;-6;;-8;-23;-10;;-7;;-1;;;6;;;7;;-6;;-8;-23;-10;;-7;;-1;;;6;;;7,1
;;5;;;4;;;0;;-4;;;0;;-4;;-3;-57;;;5;;;4;;;0;;-4;;;0;;-4;;-3;-57;;;5;;;4;;;0;;-4;;;0;;-4;;-3;-57;;;5;;;4;;;0;;-4;;;0;;-4;;-3;-57;;;5;;;4;;;0;;-4;;;0;;-4;;-3;-57;;;5;;;4;;;0;;-4;;;0;;-4;;-3;-57;;;5;;;4;;;0;;-4;;;0;;-4;;-3;-57;;;5;;;4;;;0;;-4;;;0;;-4;;-3;-57,1
11;-7;-9;;4;;2;;6;-4;;4;11;-7;-9;;4;;2;;6;-4;;4;11;-7;-9;;4;;2;;6;-4;;4;11;-7;-9;;4;;2;;6;-4;;4;11;-7;-9;;4;;2;;6;-4;;4;11;-7;-9;;4;;2;;6;-4;;4;11;-7;-9;;4;;2;;6;-4;;4;11;-7;-9;;4;;2;;6;-4;;4,1
-5;14;21;;1;;6;-2;;1;;6;-5;14;21;;1;;6;-2;;1;;6;-5;14;21;;1;;6;-2;;1;;6;-5;14;21;;1;;6;-2;;1;;6;-5;14;21;;1;;6;-2;;1;;6;-5;14;21;;1;;6;-2;;1;;6;-5;14;21;;1;;6;-2;;1;;6;-5;14;21;;1;;6;-2;;1;;6,1
;-6;;20;;;9;;;0;-10;;-5;;-5;;-1;;-6;;20;;;9;;;0;-10;;-5;;-5;;-1;;-6;;20;;;9;;;0;-10;;-5;;-5;;-1;;-6;;20;;;9;;;0;-10;;-5;;-5;;-1;;-6;;20;;;9;;;0;-10;;-5;;-5;;-1;;-6;;20;;;9;;;0;-10;;-5;;-5;;-1;;-6;;20;;;9;;;0;-10;;-5;;-5;;-1;;-6;;20;;;9;;;0;-10;;-5;;-5;;-1,1
